irect Health and Medical Insurance Carriers","Methane","kg/2021 USD, purchaser price","1.49e-04","0.00e+00","1.49e-04","5241XX"
524130,"Reinsurance Carriers","Carbon dioxide","kg/2021 USD, purchaser price","2.87e-02","0.00e+00","2.87e-02","5241XX"
524130,"Reinsurance Carriers","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.74e-09","0.00e+00","2.74e-09","5241XX"
524130,"Reinsurance Carriers","Hexafluoroethane","kg/2021 USD, purchaser price","6.09e-10","0.00e+00","6.09e-10","5241XX"
524130,"Reinsurance Carriers","Methane","kg/2021 USD, purchaser price","1.49e-04","0.00e+00","1.49e-04","5241XX"
524130,"Reinsurance Carriers","HFC-143a","kg/2021 USD, purchaser price","2.51e-08","0.00e+00","2.51e-08","5241XX"
524130,"Reinsurance Carriers","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.84e-11","0.00e+00","3.84e-11","5241XX"
524130,"Reinsurance Carriers","Perfluoropropane","kg/2021 USD, purchaser price","4.47e-11","0.00e+00","4.47e-11","5241XX"
524130,"Reinsurance Carriers","HFC-125","kg/2021 USD, purchaser price","6.73e-08","0.00e+00","6.73e-08","5241XX"
524130,"Reinsurance Carriers","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.38e-10","0.00e+00","1.38e-10","5241XX"
524130,"Reinsurance Carriers","HFC-23","kg/2021 USD, purchaser price","1.15e-09","0.00e+00","1.15e-09","5241XX"
524130,"Reinsurance Carriers","HFC-236fa","kg/2021 USD, purchaser price","4.52e-10","0.00e+00","4.52e-10","5241XX"
524130,"Reinsurance Carriers","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.05e-09","0.00e+00","2.05e-09","5241XX"
524130,"Reinsurance Carriers","HFC-134a","kg/2021 USD, purchaser price","1.72e-07","0.00e+00","1.72e-07","5241XX"
524130,"Reinsurance Carriers","Nitrous oxide","kg/2021 USD, purchaser price","3.41e-06","0.00e+00","3.41e-06","5241XX"
524210,"Insurance Agencies and Brokerages","Carbon dioxide","kg/2021 USD, purchaser price","2.90e-02","0.00e+00","2.90e-02","524200"
524210,"Insurance Agencies and Brokerages","Methane","kg/2021
