 Contractors","HFC-236fa","kg/2021 USD, purchaser price","4.86e-09","0.00e+00","4.86e-09","233411,2332D0,233240,233412,2332A0,2334A0,233262,230301,230302,233230,233210"
238910,"Site Preparation Contractors","Carbon dioxide","kg/2021 USD, purchaser price","2.09e-01","0.00e+00","2.09e-01","233240,2334A0,233210,2332D0,230301,233262,230302,233411,2332A0,233412,233230"
238910,"Site Preparation Contractors","Hexafluoroethane","kg/2021 USD, purchaser price","9.23e-09","0.00e+00","9.23e-09","233240,2334A0,233210,2332D0,230301,233262,230302,233411,2332A0,233412,233230"
238910,"Site Preparation Contractors","Methane","kg/2021 USD, purchaser price","8.50e-04","0.00e+00","8.50e-04","233240,2334A0,233210,2332D0,230301,233262,230302,233411,2332A0,233412,233230"
238910,"Site Preparation Contractors","HFC-125","kg/2021 USD, purchaser price","7.24e-07","0.00e+00","7.24e-07","233240,2334A0,233210,2332D0,230301,233262,230302,233411,2332A0,233412,233230"
238910,"Site Preparation Contractors","HFC-143a","kg/2021 USD, purchaser price","2.70e-07","0.00e+00","2.70e-07","233240,2334A0,233210,2332D0,230301,233262,230302,233411,2332A0,233412,233230"
238910,"Site Preparation Contractors","HFC-236fa","kg/2021 USD, purchaser price","4.86e-09","0.00e+00","4.86e-09","233240,2334A0,233210,2332D0,230301,233262,230302,233411,2332A0,233412,233230"
238910,"Site Preparation Contractors","HFC-32","kg/2021 USD, purchaser price","4.37e-07","0.00e+00","4.37e-07","233240,2334A0,233210,2332D0,230301,233262,230302,233411,2332A0,233412,233230"
238910,"Site Preparation Contractors","Nitrous oxide","kg/2021 USD, purchaser price","2.19e-05","0.00e+00","2.19e-05","233240,2334A0,233210,2332D0,230301,233262,230302,233411,2332A0,233412,233230"
238990,"All Other Specialty Trade Contractors","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.28e-10","0.00e+00","3.28e-10","2334A0,230301,230302,233230,233262,2332D0,233411,2332A0,233412,233210,233240"
238990,"All Other Specialty Trade Contractors","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","7.29e-07","0.00e+00","7.29e-07","2334A0,230301,230302,233230,233262,2332D0,233411,2332A0,233412,233210,233240"
238990,"All Other Specialty Trade Contractors","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.94e-08","0.00e+00","4.94e-08","2334A0,230301,230302,233230,233262,2332D0,233411,2332A0,233412,233210,233240"
238990,"All Other Specialty Trade Contractors","Perfluoropropane","kg/2021 USD, purchaser price","3.83e-10","0.00e+00","3.83e-10","2334A0,230301,230302,233230,233262,2332D0,233411,2332A0,233412,233210,233240"
238990,"All Other Specialty Trade Contractors","HFC-125","kg/2021 USD, purchaser price","7.24e-07","0.00e+00","7.24e-07","2334A0,230301,230302,233230,233262,2332D0,233411,2332A0,233412,233210,233240"
238990,"All Other Specialty Trade Contractors","Carbon dioxide","kg/2021 USD, purchaser price","2.09e-01","0.00e+00","2.09e-01","2334A0,230301,230302,233230,233262,2332D0,233411,2332A0,233412,233210,233240"
238990,"All Other Specialty Trade Contractors","HFC-23","kg/2021 USD, purchaser price","1.24e-08","0.00e+00","1.24e-08","2334A0,230301,230302,233230,233
