ering Construction","Nitrous oxide","kg/2021 USD, purchaser price","2.40e-05","0.00e+00","2.40e-05","2332D0"
238110,"Poured Concrete Foundation and Structure Contractors","Methane","kg/2021 USD, purchaser price","8.50e-04","0.00e+00","8.50e-04","230301,233240,2332D0,2334A0,233230,233412,233210,2332A0,230302,233262,233411"
238110,"Poured Concrete Foundation and Structure Contractors","HFC-134a","kg/2021 USD, purchaser price","1.86e-06","0.00e+00","1.86e-06","230301,233240,2332D0,2334A0,233230,233412,233210,2332A0,230302,233262,233411"
238110,"Poured Concrete Foundation and Structure Contractors","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.94e-08","0.00e+00","4.94e-08","230301,233240,2332D0,2334A0,233230,233412,233210,2332A0,230302,233262,233411"
238120,"Structural Steel and Precast Concrete Contractors","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.28e-10","0.00e+00","3.28e-10","230301,233210,2332D0,233412,233262,2332A0,233411,233230,2334A0,233240,230302"
238120,"Structural Steel and Precast Concrete Contractors","Perfluoropropane","kg/2021 USD, purchaser price","3.83e-10","0.00e+00","3.83e-10","230301,233210,2332D0,233412,233262,2332A0,233411,233230,2334A0,233240,230302"
238120,"Structural Steel and Precast Concrete Contractors","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.18e-09","0.00e+00","1.18e-09","230301,233210,2332D0,233412,233262,2332A0,233411,233230,2334A0,233240,230302"
238120,"Structural Steel and Precast Concrete Contractors","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.21e-08","0.00e+00","1.21e-08","230301,233210,2332D0,233412,233262,2332A0,233411,233230,2334A0,233240,230302"
238120,"Structural Steel and Precast Concrete Contractors","Nitrous oxide","kg/2021 USD, purchaser price","2.19e-05","0.00e+00","2.19e-05","230301,233210,2332D0,233412,233262,2332A0,233411,233230,2334A0,233240,230302"
238120,"Structural Steel and Precast Concrete Contractors","HFC-143a","kg/2021 USD, purchaser price","2.70e-07","0.00e+00","2.70e-07","230301,233210,2332D0,233412,233262,2332A0,233411,233230,2334A0,233240,230302"
238120,"Structural Steel and Precast Concrete Contractors","Carbon dioxide","kg/2021 USD, purchaser price","2.09e-01","0.00e+00","2.09e-01","230301,233210,2332D0,233412,233262,2332A0,233411,233230,2334A0,233240,230302"
238120,"Structural Steel and Precast Concrete Contractors","HFC-236fa","kg/2021 USD, purchaser price","4.86e-09","0.00e+00","4.86e-09","230301,233210,2332D0,233412,233262,2332A0,233411,233230,2334A0,233240,230302"
238120,"Structural Steel and Precast Concrete Contractors","Hexafluoroethane","kg/2021 USD, purchaser price","9.23e-09","0.00e+00","9.23e-09","230301,233210,2332D0,233412,233262,2332A0,233411,233230,2334A0,233240,230302"
238120,"Structural Steel and Precast Concrete Contractors","HFC-125","kg/2021 USD, purchaser price","7.24e-07","0.00e+00","7.24e-07","230301,233210,2332D0,233412,233262,2332A0,233411,233230,2334A0,233240,230302"
238120,"Structural Steel and Precast Concrete Contractors","Methane","kg/2021 USD, purchaser price","8.50e-04","0.00e+00","8.50e-04","230301,233210,2332D0,233412,233262,2332A0,233411,233230,2334A0,233240,230302"
238120,"Structural Steel and Precast Concrete Contractors","HFC-32","kg/2021 USD, purchaser price","4.37e-07","0.00e+00","4.37e-07","230301,233210,2332D0,233412,233262,2332A0,233411,233230,2334A0,233240,230302"
238120,"Structural Steel and Precast Concrete Contractors","HFC-23","kg/2021 USD, purchaser price","1.24e-08","0.00e+00","1.24e-08","230301,233210,2332D0,233412,233262,2332A0,233411,233230,2334A0,233240,230302"
238120,"Structural Steel and Precast Concrete Contractors","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.94e-08","0.00e+00","4.94e-08","230301,233210,2332D0,233412,233262,2332A0,233411,233230,2334A0,233240,230302"
238120,"Structural Steel and Precast Concrete Contractors","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","7.29e-07","0.00e+00","7.29e-07","230301,233210,2332D0,233412,233262,2332A0,233411,233230,2334A0,233240,230302"
238120,"Structural Steel and Precast Concrete Contractors","HFC-134a","kg/2021 USD, purchaser price","1.86e-06","0.00e+00","1.86e-06","230301,233210,2332D0,233412,233262,2332A0,233411,233230,2334A0,233240,230302"
238130,"Framing Contractors","HFC-236fa","kg/2021 USD, purchaser price","4.86e-09","0.00e+00","4.86e-09","230302,233240,230301,233230,233411,233262,233412,2334A0,2332D0,233210,2332A0"
238130,"Framing Contractors","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.18e-09","0.00e+00","1.18e-09","230302,233240,230301,233230,233411,233262,233412,2334A0,2332D0,233210,2332A0"
238130,"Framing Contractors","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.21e-08","0.00e+00","1.21e-08","230302,233240,230301,233230,233411,233262,233412,2334A0,2332D0,233210,2332A0"
238130,"Framing Contractors","HFC-143a","kg/2021 USD, purchaser price","2.70e-07","0.00e+00","2.70e-07","230302,233240,230301,233230,233411,233262,233412,2334A0,2332D0,233210,2332A0"
238130,"Framing Contractors","Carbon dioxide","kg/2021 USD, purchaser price","2.09e-01","0.00e+00","2.09e-01","230302,233240,230301,233230,233411,233262,233412,2334A0,2332D0,233210,2332A0"
238130,"Framing Contractors","Perfluoropropane","kg/2021 USD, purchaser price","3.83e-10","0.00e+00","3.83e-10","230302,233240,230301,233230,233411,233262,233412,2334A0,2332D0,233210,2332A0"
238130,"Framing Contractors","Nitrous oxide","kg/2021 USD, purchaser price","2.19e-05","0.00e+00","2.19e-05","230302,233240,230301,233230,233411,233262,233412,2334A0,2332D0,233210,2332A0"
238130,"Framing Contractors","HFC-125","kg/2021 USD, purchaser price","7.24e-07","0.00e+00","7.24e-07","230302,233240,230301,233230,233411,233262,233412,2334A0,2332D0,233210,2332A0"
238130,"Framing Contractors","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.94e-08","0.00e+00","4.94e-08","230302,233240,230301,233230,233411,233262,233412,2334A0,2332D0,233210,2332A0"
238130,"Framing Contractors","Methane","kg/2021 USD, purchaser price","8.50e-04","0.00e+00","8.50e-04","230302,233240,230301,233230,233411,233262,233412,2334A0,2332D0,233210,2332A0"
238130,"Framing Contractors","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.28e-10","0.00e+00","3.28e-10","230302,233240,230301,233230,233411,233262,233412,2334A0,2332D0,233210,2332A0"
238130,"Framing Contractors","HFC-23","kg/2021 USD, purchaser price","1.24e-08","0.00e+00","1.24e-08","230302,233240,230301,233230,233411,233262,233412,2334A0,2332D0,233210,2332A0"
238130,"Framing Contractors","HFC-32","kg/2021 USD, purchase
